student_id,first_name,last_name,Gender,YEAR,program,email,CITY,weight(kg),height(cm),Math,Science,History,Art,Geography,favorite_color,favorite_subject
20231043,Lew,Shillinglaw,Non-binary,16,BSIT,lshillinglaw16@edublogs.org,Horka nad Moravou,,,74,80,96,90,94,Blue,art
20231044,Roberto,Harsum,Male,20,BSCS,rharsum17@nyu.edu,Kondrovo,74,177,83,76,80,76,90,Teal,history
20231045,Eldredge,Ruthven,Male,17,BSIT,eruthven18@stumbleupon.com,Romanovskaya,,139,96,92,94,100,85,Violet,history
20231046,Heloise,Macbane,Female,19,BSIT,hmacbane19@issuu.com,Al Fākhūrah,,170,95,80,71,74,77,Aquamarine,math
20231047,Kerby,Lockett,Male,21,BSIT,klockett1a@dagondesign.com,Puerto Berrío,100,176,98,70,97,75,71,Puce,
20231048,Stavros,Allgood,Male,19,BSIT,sallgood1b@wix.com,Praia Grande,98,,91,83,75,83,88,Red,geography
20231049,Meris,Senter,Female,19,BSEMC,msenter1c@jimdo.com,Mina de São Domingos,74,170,96,73,96,77,81,Violet,
20231050,Roldan,Edgerley,Male,22,BSEMC,redgerley1d@ebay.com,San Casimiro,112,136,71,82,99,77,84,Puce,history
20231037,Indira,Rodman,Female,18,BSIT,irodman10@businessweek.com,Pasararba,72,176,84,73,80,77,90,Turquoise,geography
20231041,Ruthann,Costi,Female,25,BSCS,rcosti14@hao123.com,Sơn Hà,76,147,90,86,71,70,79,Red,history
20231031,Melly,Heisman,Bigender,21,BSCS,mheismanu@adobe.com,Oliveira de Frades,96,174,99,99,95,89,95,Goldenrod,history
20231015,Leanor,Rewcassell,Female,25,BSIT,lrewcasselle@merriam-webster.com,Nyköping,,,77,85,79,91,78,Goldenrod,science
20231008,Melinde,Jochanany,Female,20,BSCS,mjochanany7@go.com,Serednye Vodyane,66,,80,92,73,86,94,Maroon,art
